Year,County,Total Sites Visited,Total Ticks Collected,Tick Population Density,Total Tested,B. burgdorferi (%),A. phagocytophilum (%),B. microti (%),B. miyamotoi (%),County Centroid
2008,Tompkins,1,100,1031,100,18,8,0,,"(42.4532811, -76.4737116)"
2013,Tompkins,2,11,5.5,11,9.1,0,0,,"(42.4532811, -76.4737116)"
2014,Tompkins,2,18,9,18,61.1,5.6,0,,"(42.4532811, -76.4737116)"
2015,Tompkins,1,0,0,0,,,,,"(42.4532811, -76.4737116)"
2016,Tompkins,2,166,139.7,75,58.7,0,0,0,"(42.4532811, -76.4737116)"
2017,Tompkins,2,174,53.7,95,49.5,8.4,0,2.1,"(42.4532811, -76.4737116)"
2008,Ulster,1,119,50,50,32,8,0,,"(41.9472321, -74.265447)"
2009,Ulster,1,113,27.1,50,36,12,0,,"(41.9472321, -74.265447)"
2010,Ulster,1,74,35,50,44,2,0,,"(41.9472321, -74.265447)"
2011,Ulster,1,84,77.6,50,32,4,0,,"(41.9472321, -74.265447)"
2012,Ulster,1,59,30.5,50,42,6,4,,"(41.9472321, -74.265447)"
2013,Ulster,1,118,32,50,56,6,0,,"(41.9472321, -74.265447)"
2014,Ulster,2,130,37.4,68,55.9,4.4,4.4,,"(41.9472321, -74.265447)"
2017,Ulster,3,209,41.6,135,42.2,3,11.1,2.2,"(41.9472321, -74.265447)"
2009,Warren,1,69,25.1,67,37.3,0,0,,"(43.5551053, -73.8381388)"
2012,Warren,1,77,15.1,50,58,2,0,,"(43.5551053, -73.8381388)"
2013,Warren,4,60,11.3,60,48.3,0,0,,"(43.5551053, -73.8381388)"
2014,Warren,4,166,17.5,93,57,0,0,,"(43.5551053, -73.8381388)"
2015,Warren,6,79,5.9,79,49.4,2.5,3.8,1.3,"(43.5551053, -73.8381388)"
2016,Warren,3,56,6.9,56,57.1,8.9,0,5.4,"(43.5551053, -73.8381388)"
2017,Warren,2,52,12.9,52,61.5,13.5,1.9,0,"(43.5551053, -73.8381388)"
2008,Washington,1,81,15,50,6,4,0,,"(43.3123766, -73.4394282)"
2010,Washington,1,47,22.1,47,21.3,2.1,2.1,,"(43.3123766, -73.4394282)"
2013,Washington,4,186,28.7,131,41.2,4.6,0,,"(43.3123766, -73.4394282)"
2014,Washington,4,371,74.1,129,76,5.4,1.6,,"(43.3123766, -73.4394282)"
2015,Washington,4,266,53,153,62.7,8.5,5.2,0.7,"(43.3123766, -73.4394282)"
2016,Washington,3,216,66.9,150,52,13.3,0.7,2,"(43.3123766, -73.4394282)"
2017,Washington,3,140,31.7,104,43.3,3.8,9.6,0,"(43.3123766, -73.4394282)"
2014,Wayne,2,2,1,2,50,0,0,,"(43.112841, -77.027175)"
2015,Wayne,3,13,3.3,13,7.7,0,0,0,"(43.112841, -77.027175)"
2017,Wayne,1,0,0,0,,,,,"(43.112841, -77.027175)"
2008,Westchester,1,89,30,50,16,20,2,,"(41.1527698, -73.745912)"
2009,Westchester,1,130,35.7,50,50,12,2,,"(41.1527698, -73.745912)"
2010,Westchester,1,113,38.3,50,30,12,2,,"(41.1527698, -73.745912)"
2011,Westchester,1,116,168.4,50,10,16,0,,"(41.1527698, -73.745912)"
2012,Westchester,1,58,17.7,50,40,10,6,,"(41.1527698, -73.745912)"
2013,Westchester,1,104,21.3,50,20,6,2,,"(41.1527698, -73.745912)"
2014,Westchester,1,107,19.1,50,32,6,12,,"(41.1527698, -73.745912)"
2015,Westchester,1,111,47.6,50,52,14,10,10,"(41.1527698, -73.745912)"
2016,Westchester,1,127,43.1,50,56,2,32,4,"(41.1527698, -73.745912)"
2017,Westchester,1,104,21.1,50,34,6,6,2,"(41.1527698, -73.745912)"
2009,Wyoming,1,0,0,0,,,,,"(42.7013627, -78.2285667)"
2013,Wyoming,1,0,0,0,,,,,"(42.7013627, -78.2285667)"
2014,Wyoming,1,77,43.8,50,54,4,0,,"(42.7013627, -78.2285667)"
2015,Wyoming,2,74,24.7,56,39.3,5.4,0,0,"(42.7013627, -78.2285667)"
2016,Wyoming,1,72,72,52,36.5,0,0,0,"(42.7013627, -78.2285667)"
2017,Wyoming,1,53,42.4,50,22,4,0,0,"(42.7013627, -78.2285667)"
2009,Yates,1,1,0.8,1,0,0,0,,"(42.638237, -77.1043238)"
2013,Yates,2,6,1.5,6,16.7,0,0,,"(42.638237, -77.1043238)"
2014,Yates,1,3,3,3,33.3,0,0,,"(42.638237, -77.1043238)"
2015,Yates,4,81,6.9,68,38.2,1.5,0,8.8,"(42.638237, -77.1043238)"
2017,Yates,1,50,20,50,50,4,0,0,"(42.638237, -77.1043238)"
2018,Albany,3,127,42,81,64.2,14.8,8.6,1.2,"(42.5882713, -73.9740136)"
2018,Allegany,1,58,19.3,50,60,0,0,2,"(42.2478938, -78.0261758)"
2018,Cattaraugus,5,515,62.4,250,50.4,3.6,0,0,"(42.2448527, -78.6810055)"
2018,Chautauqua,2,177,45.2,100,57,1,0,0,"(42.3042159, -79.4075949)"
2018,Chemung,1,57,38,50,62,28,0,0,"(42.1552807, -76.7471788)"
2018,Chenango,1,64,16.6,50,46,4,0,0,"(42.489732, -75.6049051)"
2018,Clinton,2,143,15.4,98,57.1,3.1,0,2,"(44.7527103, -73.7056478)"
2018,Columbia,5,173,28.3,169,59.8,17.2,9.5,3.6,"(42.2477286, -73.6268046)"
2018,Delaware,3,74,15.5,65,53.8,7.7,0,0,"(42.1939865, -74.966728)"
2018,Dutchess,1,122,71.8,50,54,4,24,2,"(41.7550085, -73.7399512)"
2018,Erie,3,89,29.7,62,50,1.6,1.6,0,"(42.752759, -78.7781922)"
2018,Essex,2,225,33,198,60.6,9.1,11.1,1,"(44.1089711, -73.7775726)"
2018,Franklin,1,64,19.7,50,56,10,0,0,"(44.5943743, -74.3106698)"
2018,Fulton,1,70,89.9,50,56,4,0,2,"(43.1156093, -74.4236782)"
2018,Greene,4,127,27.3,119,57.1,20.2,6.7,0.8,"(42.2869511, -74.1494949)"
2018,Jefferson,1,90,29,50,72,0,0,0,"(43.9953714, -76.0535218)"
2018,Livingston,2,131,65.5,99,71.7,1,0,1,"(42.7274845, -77.7697795)"
2018,Monroe,2,102,32.9,100,60,4,0,2,"(43.174966, -77.639663)"
2018,Montgomery,3,212,71.7,107,59.8,8.4,0,0.9,"(42.9008912, -74.4353575)"
2018,Niagara,1,52,52,50,58,4,0,2,"(43.203001, -78.71083)"
2018,Onondaga,1,163,94,50,60,4,0,0,"(43.0065299, -76.1961167)"
2018,Ontario,2,51,12.8,50,78,0,0,0,"(42.8566949, -77.3032768)"
2018,Orange,1,118,54.1,50,52,16,8,2,"(41.4024096, -74.3062522)"
2018,Oswego,1,106,25.5,50,70,0,0,0,"(43.4614428, -76.209258)"
2018,Otsego,4,227,40.4,81,71.6,1.2,0,1.2,"(42.6297762, -75.028841)"
2018,Rensselaer,2,59,17.3,56,53.6,14.3,10.7,1.8,"(42.7104206, -73.5138454)"
2018,Rockland,1,111,40.7,50,64,22,10,4,"(41.1547851, -74.0247721)"
2018,Saratoga,13,641,40.3,102,57.8,20.6,14.7,3.9,"(43.1061353, -73.8553872)"
2018,Schenectady,4,100,12.9,100,67,6,8,1,"(42.8175421, -74.0435834)"
2018,Schoharie,3,99,26.3,79,62,15.2,13.9,0,"(42.591294, -74.4381718)"
2018,Schuyler,2,77,29,70,72.9,1.4,0,2.9,"(42.419776, -76.9386038)"
2018,Seneca,1,58,38.7,50,62,6,2,4,"(42.7822943, -76.827088)"
2018,St Lawrence,2,167,28.7,100,44,7,0,0,"(44.4881125, -75.074311)"
2018,Steuben,4,195,31.1,116,50,1.7,0,0.9,"(42.2667252, -77.3855253)"
2018,Suffolk,10,1470,52,484,46.7,13,11,4.5,"(40.943554, -72.6922184)"
2018,Sullivan,1,138,91.2,50,62,26,20,0,"(41.7201763, -74.7646796)"
2018,Tioga,1,54,12.5,50,58,18,8,4,"(42.1780568, -76.2974503)"
2018,Tompkins,1,88,29.3,51,76.5,3.9,0,0,"(42.4532811, -76.4737116)"
2018,Ulster,1,107,17.9,50,56,6,8,2,"(41.9472321, -74.265447)"
2018,Warren,5,74,6.1,74,60.8,9.5,2.7,2.7,"(43.5551053, -73.8381388)"
2018,Washington,4,83,17.4,73,65.8,11,11,5.5,"(43.3123766, -73.4394282)"
2018,Westchester,2,11260,11,90,44.4,8.9,10,5.6,"(41.1527698, -73.745912)"
2018,Yates,1,25,12.5,25,64,0,0,4,"(42.638237, -77.1043238)"
