Log,Collected,WOTY,Received,Species,Stage,Bloodfed?,Host,Infected?,County,Count,Event Count
LDS-03-857,10/18/2003 0:00,42,10/24/2003 0:00,Ixodes scapularis,F,N,Human,N,Johnson,1,1
LDS-03-858,10/18/2003 0:00,42,10/24/2003 0:00,Ixodes scapularis,F,N,Human,N,Johnson,1,0
LDS-03-859,10/18/2003 0:00,42,10/24/2003 0:00,Ixodes scapularis,F,N,Human,N,Johnson,1,0
LDS-03-860,10/19/2003 0:00,42,10/27/2003 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-03-861,10/20/2003 0:00,43,10/27/2003 0:00,Ixodes scapularis,F,Y,Human,N,Polk,1,1
LDS-03-862,10/26/2003 0:00,43,10/27/2003 0:00,Ixodes scapularis,F,N,Human,N,Benton,1,1
LDS-03-863,10/23/2003 0:00,43,10/27/2003 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-03-865,10/24/2003 0:00,43,10/28/2003 0:00,Ixodes scapularis,F,N,Dog,N,Clayton,1,1
LDS-03-866,10/27/2003 0:00,44,10/30/2003 0:00,Ixodes scapularis,F,N,Human,N,Washington,1,1
LDS-03-867,10/31/2003 0:00,44,11/4/2003 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-03-868,10/26/2003 0:00,43,11/4/2003 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-03-869,10/30/2003 0:00,44,11/4/2003 0:00,Ixodes scapularis,F,Y,Human,N,Winnebago,1,1
LDS-03-870,11/2/2003 0:00,44,11/4/2003 0:00,Ixodes scapularis,F,N,Human,Y,Winneshiek,1,1
LDS-03-872,11/4/2003 0:00,45,11/10/2003 0:00,Ixodes scapularis,F,N,Dog,,OOS - Michigan,0,0
LDS-03-873,11/6/2003 0:00,45,11/10/2003 0:00,Ixodes scapularis,F,N,Dog,N,Iowa,1,1
LDS-03-874,11/21/2003 0:00,47,11/24/2003 0:00,Ixodes scapularis,F,N,Human,,Dubuque,1,1
LDS-03-875,11/25/2003 0:00,48,12/1/2003 0:00,Ixodes scapularis,F,,Dog,N,Jackson,1,1
LDS-04-001,3/2/2004 0:00,10,3/7/2004 0:00,Ixodes scapularis,F,N,Human,N,Louisa,1,1
LDS-04-002,3/2/2004 0:00,10,3/7/2004 0:00,Ixodes scapularis,M,N,Human,N,Louisa,1,0
LDS-04-003,3/2/2004 0:00,10,3/7/2004 0:00,Ixodes scapularis,M,N,Human,Y,Louisa,1,0
LDS-04-004,3/14/2004 0:00,11,3/18/2004 0:00,Ixodes scapularis,F,N,Dog,N,Webster,1,1
LDS-04-005,3/12/2004 0:00,11,3/19/2004 0:00,Ixodes scapularis,F,Y,Human,N,Muscatine,1,1
LDS-04-006,3/25/2004 0:00,13,4/4/2004 0:00,Ixodes scapularis,F,N,Human,N,Marshall,1,1
LDS-04-008,3/31/2004 0:00,14,4/4/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-009,3/31/2004 0:00,14,4/4/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,0
LDS-04-010,3/30/2004 0:00,14,4/4/2004 0:00,Ixodes scapularis,F,N,Human,N,Washington,1,1
LDS-04-011,3/26/2004 0:00,13,4/4/2004 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-04-012,3/28/2004 0:00,13,4/6/2004 0:00,Ixodes scapularis,F,N,Human,N,Scott,1,1
LDS-04-013,3/20/2004 0:00,12,4/7/2004 0:00,Ixodes scapularis,F,N,Human,N,OOS - Wisconsin,0,0
LDS-04-014,4/5/2004 0:00,15,4/7/2004 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-04-017,4/12/2004 0:00,16,4/10/2004 0:00,Ixodes scapularis,F,Y,,Y,Winneshiek,1,1
LDS-04-018,4/12/2004 0:00,16,4/10/2004 0:00,Ixodes scapularis,F,Y,,N,Winneshiek,1,0
LDS-04-019,4/12/2004 0:00,16,4/10/2004 0:00,Ixodes scapularis,F,Y,,N,Winneshiek,1,0
LDS-04-020,4/12/2004 0:00,16,4/10/2004 0:00,Ixodes scapularis,M,N,Cat,N,Muscatine,1,1
LDS-04-021,4/12/2004 0:00,16,4/7/2004 0:00,Ixodes scapularis,F,N,Human,N,Polk,1,1
LDS-04-022,4/12/2004 0:00,16,4/7/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-025,4/14/2004 0:00,16,4/13/2004 0:00,Ixodes scapularis,F,N,Human,N,Hamilton,1,1
LDS-04-027,4/13/2004 0:00,16,4/15/2004 0:00,Ixodes scapularis,F,N,Human,N,Dubuque,1,1
LDS-04-035,4/23/2004 0:00,17,4/26/2004 0:00,Ixodes scapularis,F,Y,Human,N,Winneshiek,1,1
LDS-04-040,4/15/2004 0:00,16,4/22/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-042,4/21/2004 0:00,17,4/26/2004 0:00,Ixodes scapularis,F,Y,,N,Tama,1,1
LDS-04-043,4/16/2004 0:00,16,4/26/2004 0:00,Ixodes scapularis,M,N,Human,N,Muscatine,1,1
LDS-04-049,4/27/2004 0:00,18,4/28/2004 0:00,Ixodes scapularis,F,N,,N,Marion,1,1
LDS-04-055,4/27/2004 0:00,18,4/29/2004 0:00,Ixodes scapularis,F,N,Human,N,Polk,1,1
LDS-04-058,4/27/2004 0:00,18,4/29/2004 0:00,Ixodes scapularis,F,Y,Dog,N,OOS - Minnesota,0,0
LDS-04-059,4/28/2004 0:00,18,4/30/2004 0:00,Ixodes scapularis,F,N,Dog,N,OOS - Minnesota,0,0
LDS-04-074,4/27/2004 0:00,18,5/4/2004 0:00,Ixodes scapularis,F,N,Human,N,OOS - Illinois,0,0
LDS-04-078,4/29/2004 0:00,18,5/4/2004 0:00,Ixodes scapularis,F,N,Human,N,OOS - Illinois,0,0
LDS-04-082,4/25/2004 0:00,18,5/4/2004 0:00,Ixodes scapularis,F,Y,Human,N,Johnson,1,1
LDS-04-091,4/28/2004 0:00,18,5/4/2004 0:00,Ixodes scapularis,F,,Human,N,Boone,1,1
LDS-04-092,5/3/2004 0:00,19,5/4/2004 0:00,Ixodes scapularis,M,,Human,Y,Allamakee,1,1
LDS-04-093,4/27/2004 0:00,18,5/4/2004 0:00,Ixodes scapularis,F,N,Human,N,Linn,1,1
LDS-04-097,5/1/2004 0:00,18,5/7/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-099,5/1/2004 0:00,18,5/7/2004 0:00,Ixodes scapularis,M,N,Human,N,Marshall,1,1
LDS-04-102,5/6/2004 0:00,19,5/8/2004 0:00,Ixodes scapularis,F,N,,N,Davis,1,1
LDS-04-106,5/5/2004 0:00,19,5/10/2004 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-04-107,4/25/2004 0:00,17,5/10/2004 0:00,Ixodes scapularis,F,N,Human,N,Johnson,1,1
LDS-04-118,5/10/2004 0:00,20,5/12/2004 0:00,Ixodes scapularis,N,N,Human,N,Winneshiek,1,1
LDS-04-121,5/7/2004 0:00,19,5/12/2004 0:00,Ixodes scapularis,F,N,Human,Y,OOS - Illinois,0,0
LDS-04-125,5/9/2004 0:00,19,5/13/2004 0:00,Ixodes scapularis,F,N,Human,N,Dubuque,1,1
LDS-04-133,5/8/2004 0:00,19,5/14/2004 0:00,Ixodes scapularis,F,N,Human,N,Allamakee,1,1
LDS-04-134,5/8/2004 0:00,19,5/14/2004 0:00,Ixodes scapularis,F,N,Human,N,Allamakee,1,0
LDS-04-135,5/12/2004 0:00,20,5/14/2004 0:00,Ixodes scapularis,F,N,Human,Y,Marshall,1,1
LDS-04-136,5/9/2004 0:00,19,5/14/2004 0:00,Ixodes scapularis,F,N,Human,N,Allamakee,1,1
LDS-04-137,5/9/2004 0:00,19,5/14/2004 0:00,Ixodes scapularis,F,Y,Human,N,Allamakee,1,0
LDS-04-138,5/14/2004 0:00,20,5/18/2004 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-04-139,5/13/2004 0:00,20,5/18/2004 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-04-140,5/11/2004 0:00,20,5/18/2004 0:00,Ixodes scapularis,F,N,Human,N,Iowa,1,1
LDS-04-143,5/13/2004 0:00,20,5/18/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-147,5/12/2004 0:00,20,5/18/2004 0:00,Ixodes scapularis,F,N,,N,Johnson,1,1
LDS-04-148,5/15/2004 0:00,20,5/18/2004 0:00,Ixodes scapularis,F,N,Human,N,Delaware,1,1
LDS-04-149,5/13/2004 0:00,20,5/18/2004 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-04-151,5/13/2004 0:00,20,5/18/2004 0:00,Ixodes scapularis,F,Y,Human,N,Linn,1,1
LDS-04-152,5/13/2004 0:00,20,5/18/2004 0:00,Ixodes scapularis,F,N,Human,N,Linn,1,1
LDS-04-154,5/11/2004 0:00,20,5/19/2004 0:00,Ixodes scapularis,F,Y,Human,N,Allamakee,1,1
LDS-04-157,5/17/2004 0:00,21,5/19/2004 0:00,Ixodes scapularis,F,N,Human,N,Iowa,1,1
LDS-04-158,5/10/2004 0:00,20,5/19/2004 0:00,Ixodes scapularis,F,N,Human,N,Allamakee,1,1
LDS-04-167,5/13/2004 0:00,20,5/19/2004 0:00,Ixodes scapularis,F,N,,N,Winneshiek,1,1
LDS-04-169,5/17/2004 0:00,21,5/20/2004 0:00,Ixodes scapularis,F,N,,N,Muscatine,1,1
LDS-04-171,5/17/2004 0:00,21,5/20/2004 0:00,Ixodes scapularis,F,N,,N,Linn,1,1
LDS-04-174,5/14/2004 0:00,20,5/21/2004 0:00,Ixodes scapularis,F,N,Human,N,OOS - Illinois,0,0
LDS-04-179,5/20/2004 0:00,21,5/21/2004 0:00,Ixodes scapularis,F,N,Human,N,Clayton,1,1
LDS-04-180,5/20/2004 0:00,21,5/21/2004 0:00,Ixodes scapularis,F,N,Human,N,Fayette,1,0
LDS-04-181,5/19/2004 0:00,21,5/21/2004 0:00,Ixodes scapularis,F,N,Human,N,Allamakee,1,1
LDS-04-183,5/20/2004 0:00,21,5/24/2004 0:00,Ixodes scapularis,F,N,Human,N,Delaware,1,1
LDS-04-186,5/19/2004 0:00,21,5/24/2004 0:00,Ixodes scapularis,N,N,Human,N,Winneshiek,1,1
LDS-04-189,5/21/2004 0:00,21,5/24/2004 0:00,Ixodes scapularis,N,N,Human,N,Muscatine,1,1
LDS-04-238,5/20/2004 0:00,21,5/25/2004 0:00,Ixodes scapularis,F,Y,Human,N,Dubuque,1,1
LDS-04-250,5/24/2004 0:00,22,5/26/2004 0:00,Ixodes scapularis,M,N,,N,Polk,1,1
LDS-04-251,5/11/2004 0:00,20,5/26/2004 0:00,Ixodes scapularis,F,N,Human,N,Allamakee,1,1
LDS-04-253,5/23/2004 0:00,21,5/27/2004 0:00,Ixodes scapularis,F,N,Human,Y,Allamakee,1,1
LDS-04-280,5/25/2004 0:00,22,6/4/2004 0:00,Ixodes scapularis,N,N,Human,Y,Clayton,1,1
LDS-04-281,5/28/2004 0:00,22,6/4/2004 0:00,Ixodes scapularis,N,N,Human,N,Clayton,1,1
LDS-04-285,6/2/2004 0:00,23,6/8/2004 0:00,Ixodes scapularis,N,N,Human,N,Muscatine,1,1
LDS-04-289,6/3/2004 0:00,23,6/8/2004 0:00,Ixodes scapularis,F,N,Human,Y,Winneshiek,1,1
LDS-04-290,6/3/2004 0:00,23,6/8/2004 0:00,Ixodes scapularis,N,Y,Human,N,Winneshiek,1,1
LDS-04-291,6/5/2004 0:00,23,6/8/2004 0:00,Ixodes scapularis,M,N,Human,N,Winneshiek,1,1
LDS-04-292,6/5/2004 0:00,23,6/8/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-293,6/5/2004 0:00,23,6/8/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-298,6/2/2004 0:00,23,6/8/2004 0:00,Ixodes scapularis,F,N,Human,N,Allamakee,1,1
LDS-04-320,6/4/2004 0:00,23,6/8/2004 0:00,Ixodes scapularis,N,N,Human,N,Johnson,1,1
LDS-04-321,6/7/2004 0:00,24,6/8/2004 0:00,Ixodes scapularis,F,,Human,Y,Allamakee,1,1
LDS-04-323,6/1/2004 0:00,23,6/9/2004 0:00,Ixodes scapularis,N,N,Human,N,Muscatine,1,1
LDS-04-328,6/7/2004 0:00,24,6/14/2004 0:00,Ixodes scapularis,F,Y,Human,Y,Allamakee,1,1
LDS-04-329,6/10/2004 0:00,24,6/14/2004 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-04-331,6/8/2004 0:00,24,6/14/2004 0:00,Ixodes scapularis,F,Y,Human,N,Louisa,1,1
LDS-04-362,6/15/2004 0:00,25,6/21/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-363,6/15/2004 0:00,25,6/21/2004 0:00,Ixodes scapularis,N,N,Human,N,Winneshiek,1,1
LDS-04-364,6/15/2004 0:00,25,6/21/2004 0:00,Ixodes scapularis,L,N,Human,N,Winneshiek,1,1
LDS-04-365,6/15/2004 0:00,25,6/21/2004 0:00,Ixodes scapularis,N,N,,N,Winneshiek,1,1
LDS-04-366,6/12/2004 0:00,24,6/21/2004 0:00,Ixodes scapularis,F,Y,Human,N,Winneshiek,1,1
LDS-04-368,6/13/2004 0:00,24,6/21/2004 0:00,Ixodes scapularis,N,N,Human,N,Clayton,1,1
LDS-04-369,6/14/2004 0:00,25,6/21/2004 0:00,Ixodes scapularis,N,N,Human,N,Clayton,1,1
LDS-04-377,6/16/2004 0:00,25,6/23/2004 0:00,Ixodes scapularis,F,Y,Human,N,Clayton,1,1
LDS-04-378,6/17/2004 0:00,25,6/23/2004 0:00,Ixodes scapularis,F,N,Human,N,Clayton,1,1
LDS-04-385,6/24/2004 0:00,26,6/29/2004 0:00,Ixodes scapularis,N,N,Human,,Winneshiek,1,1
LDS-04-400,7/6/2004 0:00,28,7/8/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-401,7/3/2004 0:00,27,7/8/2004 0:00,Ixodes scapularis,F,Y,Human,N,Winneshiek,1,1
LDS-04-403,6/30/2004 0:00,27,7/13/2004 0:00,Ixodes scapularis,N,N,Human,N,Clayton,1,1
LDS-04-404,6/30/2004 0:00,27,7/13/2004 0:00,Ixodes scapularis,N,N,Human,N,Clayton,1,1
LDS-04-407,7/10/2004 0:00,28,7/14/2004 0:00,Ixodes scapularis,F,N,Human,Y,Marshall,1,1
LDS-04-411,7/10/2004 0:00,28,7/16/2004 0:00,Ixodes scapularis,F,Y,Human,N,Muscatine,1,1
LDS-04-414,7/15/2004 0:00,29,7/19/2004 0:00,Ixodes scapularis,L,Y,Human,N,Marshall,1,1
LDS-04-426,7/20/2004 0:00,30,7/22/2004 0:00,Ixodes scapularis,F,Y,Dog,,OOS - Minnesota,0,0
LDS-04-430,7/17/2004 0:00,29,7/22/2004 0:00,Ixodes scapularis,L,N,Human,N,Winneshiek,1,1
LDS-04-432,7/15/2004 0:00,29,7/26/2004 0:00,Ixodes scapularis,F,N,Human,N,Allamakee,1,1
LDS-04-436,7/26/2004 0:00,31,7/29/2004 0:00,Ixodes scapularis,N,N,Human,N,Clayton,1,1
LDS-04-447,8/2/2004 0:00,32,8/5/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Linn,1,1
LDS-04-448,7/29/2004 0:00,31,8/6/2004 0:00,Ixodes scapularis,L,N,Human,N,Clayton,1,1
LDS-04-449,7/27/2004 0:00,31,8/6/2004 0:00,Ixodes scapularis,N,N,Human,N,Winneshiek,1,1
LDS-04-457,8/12/2004 0:00,33,8/16/2004 0:00,Ixodes scapularis,L,N,Human,N,Allamakee,1,1
LDS-04-458,8/12/2004 0:00,33,8/16/2004 0:00,Ixodes scapularis,L,N,Human,N,Allamakee,1,0
LDS-04-471,8/26/2004 0:00,35,9/2/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-477,9/15/2004 0:00,38,9/13/2004 0:00,Ixodes scapularis,F,N,Human,N,Scott,1,1
LDS-04-478,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,L,N,Human,N,Winneshiek,1,1
LDS-04-479,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,L,N,Human,N,Winneshiek,1,0
LDS-04-480,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,L,N,Human,N,Winneshiek,1,0
LDS-04-481,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,L,N,Human,N,Winneshiek,1,0
LDS-04-482,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-483,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,0
LDS-04-484,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,L,N,Human,N,Winneshiek,1,1
LDS-04-485,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,L,N,Human,N,Winneshiek,1,0
LDS-04-486,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,L,N,Human,N,Winneshiek,1,0
LDS-04-487,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,L,N,Human,N,Winneshiek,1,1
LDS-04-488,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,L,N,Human,N,Winneshiek,1,1
LDS-04-489,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-490,9/15/2004 0:00,38,9/20/2004 0:00,Ixodes scapularis,,N,Human,N,Winneshiek,1,1
LDS-04-491,9/15/2004 0:00,38,9/23/2004 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,1
LDS-04-492,9/15/2004 0:00,38,9/23/2004 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-04-493,9/15/2004 0:00,38,9/23/2004 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-04-494,9/15/2004 0:00,38,9/23/2004 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-04-495,9/23/2004 0:00,39,10/8/2004 0:00,Ixodes scapularis,N,N,Human,N,Allamakee,1,1
LDS-04-496,10/5/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,N,Human,N,Iowa,1,1
LDS-04-497,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,Y,Dog,N,Allamakee,1,1
LDS-04-498,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,N,Dog,N,Allamakee,1,0
LDS-04-499,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Allamakee,1,0
LDS-04-500,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,Y,Allamakee,1,0
LDS-04-501,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,Y,Allamakee,1,0
LDS-04-502,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,Y,Allamakee,1,0
LDS-04-503,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Allamakee,1,0
LDS-04-504,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Allamakee,1,0
LDS-04-505,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Allamakee,1,0
LDS-04-506,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Allamakee,1,0
LDS-04-507,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,Y,Allamakee,1,0
LDS-04-508,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,Y,Allamakee,1,0
LDS-04-509,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Allamakee,1,0
LDS-04-510,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,Y,Allamakee,1,0
LDS-04-511,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,Y,Allamakee,1,0
LDS-04-512,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,Y,Dog,N,Allamakee,1,0
LDS-04-513,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Allamakee,1,0
LDS-04-514,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Allamakee,1,0
LDS-04-515,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,Y,Dog,N,Allamakee,1,0
LDS-04-516,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Allamakee,1,0
LDS-04-517,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,Y,Allamakee,1,0
LDS-04-518,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,Y,Dog,Y,Allamakee,1,0
LDS-04-519,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,Y,Dog,Y,Allamakee,1,0
LDS-04-520,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,Y,Dog,Y,Allamakee,1,0
LDS-04-521,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,Y,Dog,N,Allamakee,1,0
LDS-04-522,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,Y,Dog,N,Allamakee,1,0
LDS-04-523,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,Y,Dog,N,Allamakee,1,0
LDS-04-524,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,Y,Dog,N,Allamakee,1,0
LDS-04-525,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,Y,Dog,N,Allamakee,1,0
LDS-04-526,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,M,Y,Dog,N,Allamakee,1,0
LDS-04-527,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Allamakee,1,0
LDS-04-528,10/4/2004 0:00,41,10/8/2004 0:00,Ixodes scapularis,F,N,Human,N,Iowa,1,1
LDS-04-529,10/12/2004 0:00,42,10/15/2004 0:00,Ixodes scapularis,F,N,,N,Hamilton,1,1
LDS-04-530,10/12/2004 0:00,42,10/20/2004 0:00,Ixodes scapularis,F,N,Human,N,Dubuque,1,1
LDS-04-531,10/15/2004 0:00,42,10/20/2004 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-04-532,10/14/2004 0:00,42,10/20/2004 0:00,Ixodes scapularis,F,N,Human,N,Iowa,1,1
LDS-04-534,10/23/2004 0:00,43,10/25/2004 0:00,Ixodes scapularis,F,N,,N,Allamakee,1,1
LDS-04-535,10/21/2004 0:00,43,10/25/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-536,10/21/2004 0:00,43,10/25/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,0
LDS-04-537,10/26/2004 0:00,44,10/29/2004 0:00,Ixodes scapularis,F,N,,N,Winneshiek,1,1
LDS-04-538,10/25/2004 0:00,44,10/29/2004 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-04-539,10/25/2004 0:00,44,10/29/2004 0:00,Ixodes scapularis,F,N,Human,N,Iowa,1,1
LDS-04-540,10/19/2004 0:00,43,10/29/2004 0:00,Ixodes scapularis,F,N,Human,N,Iowa,1,1
LDS-04-541,10/29/2004 0:00,44,11/3/2004 0:00,Ixodes scapularis,F,N,,N,Dubuque,1,1
LDS-04-542,10/29/2004 0:00,44,11/3/2004 0:00,Ixodes scapularis,F,N,,N,Dubuque,1,0
LDS-04-543,11/4/2004 0:00,45,11/9/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Linn,1,1
LDS-04-544,11/4/2004 0:00,45,11/9/2004 0:00,Ixodes scapularis,M,N,Dog,N,Linn,1,0
LDS-04-545,11/4/2004 0:00,45,11/9/2004 0:00,Ixodes scapularis,F,N,Human,N,Dubuque,1,1
LDS-04-546,11/4/2004 0:00,45,11/9/2004 0:00,Ixodes scapularis,F,Y,Human,N,Dubuque,1,1
LDS-04-547,11/5/2004 0:00,45,11/9/2004 0:00,Ixodes scapularis,F,N,Human,N,Iowa,1,1
LDS-04-548,11/8/2004 0:00,46,11/15/2004 0:00,Ixodes scapularis,F,N,Human,N,OOS - Wisconsin,0,0
LDS-04-552,11/4/2004 0:00,45,11/15/2004 0:00,Ixodes scapularis,F,N,Human,N,Dubuque,1,1
LDS-04-553,11/11/2004 0:00,46,11/15/2004 0:00,Ixodes scapularis,F,N,Human,N,Louisa,1,1
LDS-04-554,11/13/2004 0:00,46,11/15/2004 0:00,Ixodes scapularis,F,Y,Dog,Y,Johnson,1,1
LDS-04-555,10/24/2004 0:00,43,11/15/2004 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-04-556,10/26/2004 0:00,44,11/15/2004 0:00,Ixodes scapularis,F,N,Human,N,Louisa,1,1
LDS-04-557,11/14/2004 0:00,46,11/18/2004 0:00,Ixodes scapularis,F,Y,Dog,N,Linn,1,1
LDS-04-558,11/20/2004 0:00,47,11/23/2004 0:00,Ixodes scapularis,F,N,Human,N,Allamakee,1,1
LDS-04-559,11/21/2004 0:00,47,11/30/2004 0:00,Ixodes scapularis,F,N,Human,N,OOS - Illinois,0,0
LDS-04-560,12/1/2004 0:00,49,12/2/2004 0:00,Ixodes scapularis,F,Y,,N,Jefferson,1,1
LDS-04-561,12/9/2004 0:00,50,12/16/2004 0:00,Ixodes scapularis,F,Y,Dog,,Jackson,1,1
LDS-04-562,11/17/2005 0:00,47,12/30/2005 0:00,Ixodes scapularis,F,N,,N,Jackson,1,1
LDS-05-001,3/31/2005 0:00,13,4/7/2005 0:00,Ixodes scapularis,F,N,Dog,N,Johnson,1,1
LDS-05-002,4/6/2005 0:00,14,4/10/2005 0:00,Ixodes scapularis,F,N,,N,Jefferson,1,1
LDS-05-003,4/7/2005 0:00,14,4/13/2005 0:00,Ixodes scapularis,F,N,Human,Y,Winneshiek,1,1
LDS-05-011,4/11/2005 0:00,15,4/14/2005 0:00,Ixodes scapularis,F,Y,Dog,N,Linn,1,1
LDS-05-017,4/11/2005 0:00,15,4/14/2005 0:00,Ixodes scapularis,F,N,Human,Y,Iowa,1,1
LDS-05-026,4/13/2005 0:00,15,4/14/2005 0:00,Ixodes scapularis,F,N,Human,N,Greene,1,1
LDS-05-029,4/15/2005 0:00,15,4/21/2005 0:00,Ixodes scapularis,F,N,Human,N,Allamakee,1,1
LDS-05-032,4/17/2005 0:00,15,4/21/2005 0:00,Ixodes scapularis,F,N,Human,N,Black Hawk,1,1
LDS-05-033,4/21/2005 0:00,16,4/21/2005 0:00,Ixodes scapularis,F,N,Human,N,Webster,1,1
LDS-05-035,4/18/2005 0:00,16,4/21/2005 0:00,Ixodes scapularis,F,N,Human,N,Allamakee,1,1
LDS-05-043,4/17/2005 0:00,15,4/21/2005 0:00,Ixodes scapularis,F,N,Human,N,Cerro Gordo,1,1
LDS-05-046,4/21/2005 0:00,16,4/24/2005 0:00,Ixodes scapularis,M,N,Human,N,Boone,1,1
